simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
980	2018-02-10 20:00:00	1526.2861185941524	0	1526.2861185941524	0	0.0	639.7138814058476	410.95570838601554	0	890.1813045578829	0	
981	2018-02-10 21:00:00	1600.0361033617287	0	1600.0361033617287	0	0.0	565.9638966382713	430.81304500487545	0	933.7425203764503	0	
982	2018-02-10 22:00:00	1657.9825199648244	0	1657.9825199648244	0	0.0	508.0174800351756	446.41523806255105	0	967.9691899481819	0	
983	2018-02-10 23:00:00	1569.8211043384085	0	1569.8211043384085	0	0.0	596.1788956615915	422.6775937443027	0	927.2315938523636	0	
984	2018-02-11 00:00:00	1627.767520941504	0	1627.7675209415038	0	0.0	538.2324790584962	363.1289317261933	0	715.5007585018566	0	
985	2018-02-11 01:00:00	1669.910369380119	0	1669.910369380119	0	0.0	496.08963061988106	372.53032801683906	0	734.0250499841054	0	
986	2018-02-11 02:00:00	1685.7139375445997	0	1685.7139375445997	0	0.0	480.28606245540027	376.05585162583134	0	740.9716592899487	0	
987	2018-02-11 03:00:00	1690.9817935994265	0	1690.9817935994265	0	0.0	475.0182064005735	377.23102616216204	0	743.2871957252298	0	
988	2018-02-11 04:00:00	1680.446081489773	0	1680.446081489773	0	0.0	485.55391851022705	374.88067708950064	0	738.6561228546676	0	
989	2018-02-11 05:00:00	1706.7853617639073	0	1706.7853617639075	0	0.0	459.21463823609247	380.75654977115425	0	750.2338050310731	0	
990	2018-02-11 06:00:00	1868.6967621578992	0	1868.6967621578992	0	0.0	297.30323784210077	416.87639680272247	0	828.9607640831426	0	
991	2018-02-11 07:00:00	1926.6431787609952	0	1926.6431787609954	0	0.0	239.3568212390046	429.8033167023606	0	854.4316648712347	0	
992	2018-02-11 08:00:00	1916.1074666513412	0	1916.1074666513412	0	0.0	249.89253334865884	427.452967629699	0	849.8005920006724	0	
993	2018-02-11 09:00:00	1747.5360728968813	0	1747.5360728968813	0	0.0	418.46392710311875	389.8473824671159	0	775.7034260716775	0	
994	2018-02-11 10:00:00	1521.0182625393254	0	1521.0182625393254	0	0.0	644.9817374606746	339.3148774048948	0	676.1353593545907	0	
995	2018-02-11 11:00:00	1278.6968840172894	0	1278.6968840172894	0	0.0	887.3031159827106	285.2568487336816	0	569.6206833316605	0	
996	2018-02-11 12:00:00	1152.2683387014445	0	1152.2683387014445	0	0.0	1013.7316612985555	310.2506441046549	0	669.2637100494338	0	
997	2018-02-11 13:00:00	1147.0004826466175	0	1147.0004826466175	0	0.0	1018.9995173533825	308.8322629175934	0	666.1521946338219	0	
998	2018-02-11 14:00:00	1089.054066043522	0	1089.054066043522	0	0.0	1076.945933956478	293.2300698599178	0	631.9255250620904	0	
999	2018-02-11 15:00:00	1173.3397629207518	0	1173.3397629207518	0	0.0	992.6602370792482	315.9241688529005	0	681.7097717118816	0	
1000	2018-02-11 16:00:00	1252.3576037431549	0	1252.3576037431549	0	0.0	913.6423962568451	337.1998866588217	0	728.3825029460611	0	
1001	2018-02-11 17:00:00	1173.3397629207518	0	1173.3397629207518	0	0.0	992.6602370792482	315.9241688529005	0	681.7097717118816	0	
1002	2018-02-11 18:00:00	1305.0361642914236	0	1305.0361642914236	0	0.0	860.9638357085764	351.38369852943595	0	759.4976571021806	0	
1003	2018-02-11 19:00:00	1578.9646791424213	0	1578.9646791424211	0	0.0	587.0353208575789	425.13952025662974	0	921.2964587140026	0	
1004	2018-02-11 20:00:00	1747.5360728968813	0	1747.5360728968813	0	0.0	418.46392710311875	470.52771824259514	0	1020.8649520135853	0	
1005	2018-02-11 21:00:00	1842.3574818837649	0	1842.3574818837649	0	0.0	323.6425181162351	496.05857960970064	0	1076.8722294946006	0	
1006	2018-02-11 22:00:00	1963.5181711447829	0	1963.518171144783	0	0.0	202.48182885521692	528.6813469121133	0	1148.4370840536753	0	
1007	2018-02-11 23:00:00	1906.9638918473286	0	1906.9638918473283	0	0.0	259.03610815267166	513.4539897162335	0	1126.368580451529	0	
1008	2018-02-12 00:00:00	1585.624672502889	0	1585.624672502889	0	0.0	580.3753274971109	353.72753543554757	0	696.976467019608	0	
1009	2018-02-12 01:00:00	1611.9639527770237	0	1611.9639527770237	0	0.0	554.0360472229763	359.60340811720124	0	708.5541491960134	0	
1010	2018-02-12 02:00:00	1664.6425133252924	0	1664.6425133252924	0	0.0	501.3574866747076	371.3551534805085	0	731.7095135488244	0	
1011	2018-02-12 03:00:00	1780.5353465314834	0	1780.5353465314834	0	0.0	385.46465346851664	397.2089932797843	0	782.6513151250083	0	
1012	2018-02-12 04:00:00	1901.6960357925018	0	1901.6960357925018	0	0.0	264.3039642074982	424.238007615391	0	835.9086531364734	0	
1013	2018-02-12 05:00:00	1896.4281797376748	0	1896.4281797376748	0	0.0	269.5718202623252	423.0628330790602	0	833.5931167011922	0	
1014	2018-02-12 06:00:00	1952.9824590351293	0	1952.9824590351293	0	0.0	213.0175409648707	435.6791893840141	0	866.0093470476401	0	
1015	2018-02-12 07:00:00	1937.1788908706485	0	1937.1788908706485	0	0.0	228.8211091293515	432.15366577502186	0	859.0627377417968	0	
1016	2018-02-12 08:00:00	2075.5352856017885	0	2075.5352856017885	0	0.0	90.46471439821153	463.0187673143048	0	912.3213555007494	0	
1017	2018-02-12 09:00:00	1818.8024762209125	0	1818.8024762209125	0	0.0	347.19752377908753	405.74577862878346	0	791.9147406136201	0	
1018	2018-02-12 10:00:00	1681.838218795414	0	1681.838218795414	0	0.0	484.1617812045861	375.19124068418466	0	731.7107932963117	0	
1019	2018-02-12 11:00:00	1539.6061053150884	0	1539.6061053150884	0	0.0	626.3938946849116	343.46152820325517	0	669.1913095437224	0	
1020	2018-02-12 12:00:00	1397.3739918347626	0	1397.3739918347626	0	0.0	768.6260081652374	376.24585043307184	0	836.709751106754	0	
