simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
3118	2018-05-10 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3119	2018-05-10 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3120	2018-05-11 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3121	2018-05-11 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3122	2018-05-11 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3123	2018-05-11 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3124	2018-05-11 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3125	2018-05-11 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3126	2018-05-11 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3127	2018-05-11 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3128	2018-05-11 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3129	2018-05-11 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3130	2018-05-11 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3131	2018-05-11 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3132	2018-05-11 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3133	2018-05-11 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3134	2018-05-11 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3135	2018-05-11 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3136	2018-05-11 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3137	2018-05-11 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3138	2018-05-11 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3139	2018-05-11 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3140	2018-05-11 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3141	2018-05-11 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3142	2018-05-11 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3143	2018-05-11 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3144	2018-05-12 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3145	2018-05-12 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3146	2018-05-12 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3147	2018-05-12 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3148	2018-05-12 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3149	2018-05-12 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3150	2018-05-12 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3151	2018-05-12 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3152	2018-05-12 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3153	2018-05-12 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3154	2018-05-12 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3155	2018-05-12 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3156	2018-05-12 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
